2022-06-09 00:00:00;9:47:7:796;A/C-1;Unnamed: 3;Unnamed: 4;0-0;0-0.1;0-0.2;0-0.3;0-1;0-1.1;0-1.2;0-1.3;0-2;0-2.1;0-2.2;0-2.3;0-3;0-3.1;0-3.2;0-3.3;0-4;0-4.1;0-4.2;0-4.3;0-5;0-5.1;0-5.2;0-5.3;0-6;0-6.1;0-6.2;0-6.3;0-7;0-7.1;0-7.2;0-7.3;0-8;0-8.1;0-8.2;0-8.3;0-9;0-9.1;0-9.2;0-9.3;0-10;0-10.1;0-10.2;0-10.3;0-11;0-11.1;0-11.2;0-11.3
H RTC;m RTC;s RTC;ss RTC;HH:mn:s;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H;Cp;P;T;H
9;53;33;162; 09:53:33;0.0;999.54;17.840;60.740;0.0;999.54;18.20;61.970;;;;;0.0;999.54;18.389;59.849;0.0;999.54;17.940;61.169;0.0;999.54;17.729;63.500;0.0;999.54;18.90;60.939;0.0;999.54;18.500;58.779;0.0;999.54;18.489;57.369;0.0;999.54;18.620;57.569;0.0;999.54;18.459;57.810;0.0;999.54;18.579;59.979
9;53;34;70; 09:53:34;0.0;999.54;17.840;60.610;0.0;999.54;18.10;61.580;;;;;0.0;999.54;18.370;59.970;0.0;999.54;17.940;60.970;0.0;999.54;17.709;63.509;0.0;999.54;18.59;60.810;0.0;999.54;18.479;58.919;0.0;999.54;18.479;57.590;0.0;999.54;18.600;57.849;0.0;999.54;18.440;58.99;0.0;999.54;18.559;60.139
9;53;36;22; 09:53:36;0.0;999.54;17.819;60.759;0.0;999.54;18.10;61.810;;;;;0.0;999.54;18.360;60.130;0.0;999.54;17.930;60.860;0.0;999.54;17.700;63.560;0.0;999.54;18.49;60.720;0.0;999.54;18.489;58.930;0.0;999.54;18.479;57.590;0.0;999.54;18.600;57.840;0.0;999.54;18.440;58.40;0.0;999.54;18.549;60.119
9;53;37;934; 09:53:37;0.0;999.18;17.799;60.400;0.0;999.18;17.989;61.599;;;;;0.0;999.18;18.350;59.880;0.0;999.18;17.899;60.970;0.0;999.18;17.680;63.580;0.0;999.18;18.30;60.709;0.0;999.18;18.469;58.959;0.0;999.18;18.459;57.610;0.0;999.18;18.590;57.840;0.0;999.18;18.430;58.99;0.0;999.18;18.540;60.209
9;53;38;892; 09:53:38;0.0;999.18;17.790;60.540;0.0;999.18;17.979;61.619;;;;;0.0;999.18;18.340;59.830;0.0;999.18;17.889;61.29;0.0;999.18;17.670;63.580;0.0;999.18;18.20;60.700;0.0;999.18;18.459;59.9;0.0;999.18;18.450;57.689;0.0;999.18;18.590;57.919;0.0;999.18;18.409;58.209;0.0;999.18;18.540;60.279
9;53;39;848; 09:53:39;0.0;999.18;17.780;60.659;0.0;999.18;17.959;61.750;;;;;0.0;999.18;18.319;59.860;0.0;999.18;17.879;60.900;0.0;999.18;17.659;63.569;0.0;999.18;18.10;60.700;0.0;999.18;18.459;59.40;0.0;999.18;18.450;57.740;0.0;999.18;18.569;57.979;0.0;999.18;18.409;58.259;0.0;999.18;18.540;60.180
9;53;40;806; 09:53:40;0.0;999.18;17.780;60.720;0.0;999.18;17.959;61.669;;;;;0.0;999.18;18.309;60.130;0.0;999.18;17.879;60.830;0.0;999.18;17.659;63.569;0.0;999.18;18.10;60.680;0.0;999.18;18.450;59.119;0.0;999.18;18.459;57.819;0.0;999.18;18.569;58.69;0.0;999.18;18.409;58.299;0.0;999.18;18.549;60.229
9;53;41;765; 09:53:41;0.0;998.981;17.760;60.830;0.0;998.981;17.959;61.669;;;;;0.0;998.981;18.309;60.430;0.0;998.981;17.870;61.0;0.0;998.981;17.639;63.560;0.0;998.981;18.0;60.689;0.0;998.981;18.450;59.250;0.0;998.981;18.440;57.930;0.0;998.981;18.569;58.159;0.0;998.981;18.399;58.389;0.0;998.981;18.530;60.299
9;53;42;718; 09:53:42;0.0;998.981;17.750;60.639;0.0;998.981;17.950;61.779;;;;;0.0;998.981;18.299;60.60;0.0;998.981;17.860;61.60;0.0;998.981;17.639;63.610;0.0;998.981;17.979;60.700;0.0;998.981;18.440;59.369;0.0;998.981;18.450;58.40;0.0;998.981;18.559;58.259;0.0;998.981;18.389;58.509;0.0;998.981;18.540;60.409
