type;location nr;x mm;y mm;z mm;ux;uy;uz;vx;vy;vz;nx;ny;nz
Barometric;0-0;2436;4;-49;0.945535186276394;0;0.32551990954973;0;1;0;0.32551990954973;0;-0.945535186276394
Barometric;0-1;2481;4;-14;0.357433463675218;1;0.933938605608065;0;1;0;0.933938605608065;0;-0.357433463675218
Barometric;0-2;2483;4;3,7;-0.147483612534009;2;0.989064499430608;0;1;0;0.989064499430608;0;0.147483612534009
Barometric;0-3;2481;4;14;-0.415508705876326;3;0.909589201420609;0;1;0;0.909589201420609;0;0.415508705876326
Barometric;0-4;2475.8;4;23;-0.589537583490262;4;0.807740947118853;0;1;0;0.807740947118853;0;0.589537583490262
Barometric;0-5;2470;4;31;-0.675226947737502;5;0.737610038603798;0;1;0;0.737610038603798;0;0.675226947737502
Barometric;0-6;2462;4;38;-0.763463846138858;6;0.645850567576481;0;1;0;0.645850567576481;0;0.763463846138858
Barometric;0-7;2454;4;45;-0.858238276023236;7;0.513251460366811;0;1;0;0.513251460366811;0;0.858238276023236
Barometric;0-8;2445;4;51.5;-0.85220124087634;8;0.523214148364535;0;1;0;0.523214148364535;0;0.85220124087634
Barometric;0-9;2436;4;57;-0.868983421255946;9;0.494841200368675;0;1;0;0.494841200368675;0;0.868983421255946
Barometric;0-10;2427;4;62;-0.898048507369272;10;0.439896440553708;0;1;0;0.439896440553708;0;0.898048507369272
Barometric;0-11;2410;4;72;-0.915219523626268;11;0.402955609929067;0;1;0;0.402955609929067;0;-0.915219523626268
