local time UTC,Latitude,Longitude,QFE altitude baro,InHg Altitude,See level Altitude,Static Temperature,Indicated air speed,GPS Ground speed,Vertical speed,Pitch,Roll,Lateral acceleration,Normal acceleration,Magnetic heading,GPS heading,GPS altitude,True Air Speed,Course,Wind speed,Wind direction,ISA Pressure altitud
9:59:25,50.4910273,4.773818,561,30,563.4,18.8,29.87,20,-13.17,0.18,0.48,0.02,0,238.5,238.5,714.1,30,150,10.34,241.2,486
9:59:26,50.4909731,4.7736614,560,30,563.8,18.8,31.91,24.28,-29.72,0.04,0.33,-0.01,0.02,239.9,239.4,714.5,32,150,8.14,244.2,485
9:59:27,50.4909107,4.7734755,559,30,564.2,18.8,34.8,28.46,-46.31,0.3,0.11,-0.02,-0.02,237.5,239.9,714.9,35,150,6.97,231.2,484
9:59:28,50.4908334,4.7732709,559,30,564.6,18.5,40.67,32.5,-53.62,0.53,0.32,0.01,0.05,237.1,238.2,715.3,41,150,8.81,236.2,484
9:59:29,50.4907485,4.7730406,557,30,565.1,18.5,42.63,36.41,-57.35,0.27,0.11,0.02,-0.03,237.8,238,715.8,43,150,6.87,240.5,482
9:59:30,50.490653,4.7727864,557,30,565.6,18.5,44.9,40.22,-60.18,0.51,0.04,-0.05,0.11,237.1,238.7,716.3,46,150,5.45,230,482
9:59:31,50.4905491,4.7725107,556,30,566.1,18.5,49.16,43.81,-60.03,1.79,0.34,-0.04,0.02,237.4,237.9,716.8,50,150,6.09,238.5,481
9:59:32,50.4904376,4.7722147,551,30,566.7,18.5,50.6,47.14,-78.13,6.32,-4.75,0,0.08,235.2,237.4,717.4,51,150,4.51,217.2,476
9:59:33,50.4903064,4.7719095,549,30,569.3,18.5,53.41,50.15,-124.11,9.12,0.67,-0.02,0.08,238.1,235,720,54,150,5.1,275.9,474
9:59:34,50.4901721,4.7715935,556,30,575.5,18.2,57.35,52.25,-102.68,8.89,3.37,0.01,0.02,241.3,234.7,726.2,58,150,8.88,287.9,481
9:59:35,50.4900427,4.771264,566,30,583.2,18.2,59.66,53.57,28.65,8.61,3.34,0.04,0.14,243.2,236.3,733.9,61,150,10.04,287.6,491
9:59:36,50.489916,4.7709165,575,30,592.9,18.2,62.08,54.6,200.56,9.23,2.23,-0.01,-0.03,240.8,238.6,743.6,63,150,8.79,258.5,500
9:59:37,50.4897917,4.7705697,584,30,604.7,18.2,63.54,55.22,336.32,9.6,2.69,0.01,-0.06,242.9,239.2,755.4,65,150,10.17,267.1,509
9:59:38,50.4896698,4.7702125,597,30,617.3,18.2,63.99,55.71,453.44,8.68,-1.87,0.02,-0.02,242.9,240.4,768.1,65,150,9.7,261,522
9:59:39,50.4895479,4.7698504,609,30,630.1,18.2,64.19,56.33,557.98,8.43,0.73,-0.05,-0.14,241.6,240.9,780.8,65,150,8.93,250.2,534
9:59:40,50.4894253,4.7694845,621,30,642.1,18.2,65.55,57.15,629.21,8.24,2.56,0,-0.03,244.9,240.1,792.8,67,150,10.92,274.7,546
9:59:41,50.4893037,4.7691128,632,30,654,18.2,66.98,57.6,662.64,9.69,3.59,0,-0.08,244.7,241.3,804.7,68,150,11.23,266.3,557
9:59:42,50.4891855,4.7687374,644,30,667,18.2,64.95,57.67,677.84,9.09,-3.78,0.05,-0.01,245,241.8,817.7,66,150,9.14,269.7,569
9:59:43,50.4890636,4.7683618,659,30,681.3,18,66.43,58,708.42,9.06,0.88,0,-0.06,243.1,241.9,832,68,150,9.65,254,584
9:59:44,50.4889441,4.7679776,671,30,694.2,18,66.44,58.39,738.57,8.62,8.25,-0.04,-0.16,243,242.2,844.9,68,150,9.22,252.1,596
9:59:45,50.4888351,4.7675946,682,30,705.5,18,67.46,58.72,742.21,8.35,12.51,0.01,0.16,247.9,243.7,856.2,69,150,11.06,274.6,607
9:59:46,50.4887375,4.7671944,695,30,718,18,69.94,58.98,735.31,8.07,10.94,0.01,-0.06,251.8,247.7,868.8,71,150,13.15,274.3,620
9:59:47,50.4886549,4.7667838,705,30,727.8,18,70.9,59.25,718.35,9.83,11.17,0,0.06,256.3,251,878.5,72,150,14.34,281.9,630
9:59:48,50.4885877,4.7663667,714,30,737.5,18,68.89,59.38,680.57,9.64,8.27,-0.01,0,258.2,254.5,888.2,70,150,11.6,281.2,639
9:59:49,50.4885316,4.7659403,726,30,749.9,18,68.02,59.81,651.01,9.06,7.24,-0.03,-0.11,259.7,257,900.6,69,150,10,280.4,651
9:59:50,50.4884905,4.765508,737,30,761.6,18,68.88,60.47,651.91,9.56,8.94,-0.01,0.05,262.1,259,912.3,70,150,10.39,284.9,662
9:59:51,50.4884534,4.7650703,749,30,774.1,17.8,71.3,60.76,655.21,9.81,7.23,0,0.11,263.8,261.6,924.9,73,150,12.13,278.4,674
9:59:52,50.4884317,4.7646289,763,30,789.8,17.8,70.58,60.98,676.02,9.72,7.53,-0.03,-0.17,264.9,264.1,940.5,72,150,10.92,273.3,688
9:59:53,50.488421,4.7641863,777,30,805.1,17.8,71.99,61.13,712.12,10.74,10.12,0,0.03,270.7,265.7,955.8,73,150,13.64,297.2,702
9:59:54,50.4884224,4.7637444,792,30,822,17.8,70.89,60.86,762.9,11.72,6.83,-0.01,-0.04,271.6,268.7,972.7,72,150,11.89,290,717
9:59:55,50.4884312,4.763304,810,30,839.8,17.8,69.87,60.41,825.6,12.58,8.5,-0.03,0.06,272.2,271.1,990.5,71,150,10.87,282.2,735
9:59:56,50.4884549,4.7628758,827,30,857.5,17.8,69.6,59.89,891.05,12.54,11.44,-0.01,-0.03,273.7,273.3,1008.2,71,150,11.03,279.9,752
9:59:57,50.4884982,4.7624501,844,30,873.8,17.8,68.95,59.31,948.21,12.32,15.06,-0.04,-0.02,277.2,276.2,1024.6,70,150,11.04,286.2,769
9:59:58,50.4885532,4.7620337,860,30,889,17.5,68.73,58.7,977.03,11.28,14.23,0,-0.03,281.3,280,1039.7,70,150,11.5,291.5,785
9:59:59,50.4886236,4.7616263,875,30,902.8,17.5,67.2,58.47,978.9,10.71,16.84,-0.05,-0.05,284,284.3,1053.5,68,150,10.03,286,800
10:00:00,50.4887169,4.7612296,887,30,913.8,17.5,66.91,58.32,943.64,9.78,19.85,-0.01,0.06,290.1,288.4,1064.5,68,150,10.15,303.6,812
10:00:01,50.488834,4.7608463,898,30,924.4,17.5,66.46,58.63,882.1,9.82,18.7,-0.02,0.06,294.3,294.3,1075.1,68,150,9.14,297.8,823
10:00:02,50.4889773,4.7604821,908,30,934,17.5,66.9,59.15,803.3,9.77,22.4,-0.03,0.05,299.4,300,1084.7,68,150,9.07,298.9,833
10:00:03,50.4891477,4.7601405,917,30,943,17.5,66.57,59.83,717.99,9.79,22.99,-0.03,0,305.2,306.5,1093.8,68,150,8.14,299.8,842
10:00:04,50.4893485,4.7598263,926,30,951.2,17.5,66.76,60.71,643.97,8.88,23.99,-0.02,0,311.3,313.2,1101.9,68,150,7.59,300.5,851
10:00:05,50.4895724,4.7595469,933,30,957.6,17.5,67.36,61.89,582.32,8.34,24.16,-0.02,0.07,317.5,320,1108.3,69,150,7.26,300.3,858
10:00:06,50.4898229,4.7593059,938,30,963,17.2,68.16,63.43,519.99,7.15,25.5,-0.01,0.08,324,327,1113.7,70,150,6.89,299.5,863
10:00:07,50.4900965,4.7591082,943,30,967.4,17.2,68.11,65.35,453.32,7.69,25.38,-0.01,0.05,329.9,333.9,1118.1,69,150,6.01,286.8,868
10:00:08,50.4903956,4.7589601,946,30,969.5,17.2,67.96,67.28,383.39,7.45,25.06,-0.03,0.02,336.8,340.6,1120.2,69,150,4.69,276.3,871
10:00:09,50.4907098,4.7588614,948,30,970.4,17.2,69.91,69.14,305.27,7.11,24.17,-0.03,0.42,344.9,347.1,1121.1,71,150,3.15,301.1,873
10:00:10,50.4910395,4.7588235,949,30,973.4,17,71.46,70.99,220.61,5.89,19.95,0,0,351.2,354.1,1124.1,73,150,3.74,294.7,874
