test_mean_type;test_mean_name;test_mean_number;test_number;sensor_type;sensor_name;sensor_number;time;value;param_name;unity_name
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;001;14:21:12.122200;100.0;Ld Time;hh:mm:ss
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;001;10:16:37.112264;120.0;Ld Time;hh:mm:ss
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:16.878000;100193.36;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:17.869000;100191.51;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:18.857000;100192.36;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:19.841000;100190.52;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:20.832000;100191.37;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:21.819000;100186.97;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:22.807000;100190.52;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:23.792000;100192.36;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:24.783000;100186.97;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:25.769000;100192.36;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:26.759000;100191.37;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:27.750000;100187.82;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:28.740000;100190.52;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:29.733000;100199.46;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0010;06:35:30.722000;100197.61;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:16.878000;100113.85;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:17.869000;100111.17;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:18.857000;100107.49;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:19.841000;100117.23;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:20.832000;100115.52;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:21.819000;100116.38;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:22.807000;100114.55;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:23.792000;100117.23;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:24.783000;100113.7;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:25.769000;100109.2;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:26.759000;100113.7;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:27.750000;100114.55;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:28.740000;100111.88;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:29.733000;100114.55;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0011;06:35:30.722000;100117.23;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:16.878000;100133.82;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:17.869000;100130.08;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:18.857000;100134.48;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:19.841000;100135.32;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:20.832000;100131.78;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:21.819000;100128.23;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:22.807000;100132.63;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:23.792000;100134.48;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:24.783000;100134.48;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:25.769000;100129.93;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:26.759000;100123.68;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:27.750000;100132.63;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:28.740000;100136.17;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:29.733000;100129.93;P;
Aircraft;SONACA 200;12;158;Barometric;LIS3DH;0013;06:35:30.722000;100130.78;P;
